reference,country,date,sentiment_scores,sentiment_entropy
r901128a_BOA,australia,1990-11-28,"{'positive': 0.14705882352941177, 'neutral': 0.6838235294117647, 'negative': 0.16911764705882354}",0.8423404349955883
r911003a_BOA,australia,1991-10-03,"{'positive': 0.15037593984962405, 'neutral': 0.7142857142857143, 'negative': 0.13533834586466165}",0.7959157311145194
r920314a_BOA,australia,1992-03-14,"{'positive': 0.2426470588235294, 'neutral': 0.6617647058823529, 'negative': 0.09558823529411764}",0.8412434040807749
r920529a_BOA,australia,1992-05-29,"{'positive': 0.21794871794871795, 'neutral': 0.6602564102564102, 'negative': 0.12179487179487179}",0.8625631596292529
r920817a_BOA,australia,1992-08-17,"{'positive': 0.11612903225806452, 'neutral': 0.8387096774193549, 'negative': 0.04516129032258064}",0.5374409798563828
r930331a_BOA,australia,1993-03-31,"{'positive': 0.1590909090909091, 'neutral': 0.7556818181818182, 'negative': 0.08522727272727272}",0.7140128964305829
r930520a_BOA,australia,1993-05-20,"{'positive': 0.22142857142857142, 'neutral': 0.6285714285714286, 'negative': 0.15}",0.9102551782856358
r930804a_BOA,australia,1993-08-04,"{'positive': 0.25688073394495414, 'neutral': 0.6330275229357798, 'negative': 0.11009174311926606}",0.8814950849853582
r930921a_BOA,australia,1993-09-21,"{'positive': 0.3064516129032258, 'neutral': 0.5645161290322581, 'negative': 0.12903225806451613}",0.9494399481139539
r931110a_BOA,australia,1993-11-10,"{'positive': 0.5, 'neutral': 0.3673469387755102, 'negative': 0.1326530612244898}",0.9824142333762796
r931124a_BOA,australia,1993-11-24,"{'positive': 0.21323529411764705, 'neutral': 0.6985294117647058, 'negative': 0.08823529411764706}",0.7943551536102055
r940330a_BOA,australia,1994-03-30,"{'positive': 0.27403846153846156, 'neutral': 0.5625, 'negative': 0.16346153846153846}",0.974439375495278
r940512a_BOA,australia,1994-05-12,"{'positive': 0.2804878048780488, 'neutral': 0.6158536585365854, 'negative': 0.10365853658536585}",0.8900536028948005
